User_ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Date_Enroll,Recency,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189.0,104.0,379.0,111.0,189.0,218.0,1,4,4,6,1,0,0,0,0,0,1,0,Spain
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464.0,5.0,64.0,7.0,0.0,37.0,1,7,3,7,5,0,0,0,0,1,1,0,Canada
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134.0,11.0,59.0,15.0,2.0,30.0,1,3,2,5,2,0,0,0,0,0,0,0,United States
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,Australia
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6.0,16.0,24.0,11.0,0.0,34.0,2,3,1,2,7,1,0,0,0,0,1,0,Spain
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,336.0,130.0,411.0,240.0,32.0,43.0,1,4,7,5,2,0,0,0,0,0,1,0,Spain
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,769.0,80.0,252.0,15.0,34.0,65.0,1,10,10,7,6,1,0,0,0,0,1,0,Germany
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78.0,0.0,11.0,0.0,0.0,7.0,1,2,1,3,5,0,0,0,0,0,0,0,Spain
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,0,United States
9477,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,0,India
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450.0,26.0,535.0,73.0,98.0,26.0,1,5,6,10,1,0,0,0,0,0,0,0,United States
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,140.0,4.0,61.0,0.0,13.0,4.0,2,3,1,6,4,0,0,0,0,0,0,0,Spain
10530,1959,PhD,Widow,67786.0,0,0,2013-12-07,0,431.0,82.0,441.0,80.0,20.0,102.0,1,3,6,6,1,0,0,0,0,0,1,0,India
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3.0,10.0,8.0,3.0,16.0,32.0,1,1,1,2,6,0,0,0,0,0,0,0,Canada
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,16.0,4.0,12.0,2.0,4.0,321.0,0,25,0,0,1,0,0,0,0,0,0,0,Spain
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,0,0,0,0,0,0,0,Spain
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,0,0,0,0,0,1,0,Spain
10175,1958,PhD,Divorced,32173.0,0,1,2013-08-01,0,18.0,0.0,2.0,0.0,0.0,2.0,1,1,0,3,4,0,0,0,0,0,0,0,Spain
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,0,0,Canada
2795,1958,Master,Single,30523.0,2,1,2013-07-01,0,5.0,0.0,3.0,0.0,0.0,5.0,1,1,0,2,7,0,0,0,0,0,0,0,Canada
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213.0,9.0,76.0,4.0,3.0,30.0,3,5,2,5,7,0,0,0,0,0,0,0,South Africa
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275.0,11.0,68.0,25.0,7.0,7.0,3,5,1,8,5,0,0,0,0,0,0,0,India
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40.0,2.0,23.0,0.0,4.0,23.0,2,2,1,3,4,0,0,0,0,0,0,0,Germany
4065,1976,PhD,Married,49544.0,1,0,2013-02-12,0,308.0,0.0,73.0,0.0,0.0,23.0,2,5,1,8,7,0,0,0,0,0,0,0,Spain
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266.0,21.0,300.0,65.0,8.0,44.0,4,8,8,6,6,0,0,0,0,0,0,0,India
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80.0,1.0,37.0,0.0,1.0,3.0,3,2,1,4,7,0,0,0,0,0,0,0,Spain
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,0,0,0,0,0,Spain
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,0,0,0,0,0,Spain
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27.0,0.0,12.0,0.0,1.0,5.0,2,2,0,3,5,0,0,0,0,0,0,0,Spain
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184.0,174.0,256.0,50.0,30.0,32.0,1,5,4,6,2,0,0,0,0,0,0,0,Canada
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155.0,7.0,80.0,13.0,7.0,10.0,3,5,1,5,6,0,0,0,0,0,0,0,Spain
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423.0,42.0,706.0,73.0,197.0,197.0,1,4,8,9,2,0,0,0,0,0,0,0,Canada
5824,1972,PhD,Together,34578.0,2,1,2014-04-11,1,7.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,6,0,0,0,0,0,0,0,Australia
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408.0,0.0,21.0,0.0,0.0,17.0,3,7,1,7,8,0,1,0,1,0,1,0,India
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1.0,12.0,9.0,0.0,14.0,7.0,1,2,0,3,7,0,0,0,0,0,0,0,Spain
7962,1987,PhD,Single,95169.0,0,0,2013-10-09,1,1285.0,21.0,449.0,106.0,20.0,20.0,1,4,3,4,1,0,0,1,1,0,1,0,Spain
2681,1984,2n Cycle,Married,65370.0,0,0,2013-08-01,1,71.0,22.0,112.0,138.0,89.0,29.0,1,2,3,13,1,0,0,0,0,0,0,0,Spain
10141,1960,Master,Divorced,39228.0,0,0,2013-05-10,1,7.0,1.0,6.0,0.0,3.0,3.0,1,0,0,3,4,0,0,0,0,0,0,0,South Africa
3725,1961,PhD,Single,84865.0,0,0,2013-05-09,1,1248.0,16.0,349.0,43.0,16.0,16.0,1,2,4,9,4,0,1,1,1,1,1,0,Spain
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378.0,0.0,189.0,97.0,172.0,172.0,2,5,5,12,3,0,0,0,0,0,0,0,Spain
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12.0,2.0,17.0,6.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,1,0,Canada
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200.0,0.0,204.0,38.0,29.0,14.0,3,11,9,12,6,0,0,0,1,0,0,0,Spain
1524,1983,2n Cycle,Single,81698.0,0,0,2013-03-01,1,709.0,45.0,115.0,30.0,160.0,45.0,1,8,2,5,5,0,0,0,1,0,1,0,Spain
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94.0,1.0,33.0,13.0,12.0,12.0,3,4,0,4,8,0,0,0,0,0,0,0,Spain
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,4.0,2.0,12.0,7.0,5.0,26.0,2,1,2,2,6,0,0,0,0,0,1,0,Spain
9595,1961,Graduation,Together,64260.0,0,0,2013-01-11,1,539.0,169.0,816.0,20.0,0.0,30.0,1,4,5,4,3,0,0,0,0,0,1,0,Spain
3158,1973,Graduation,Married,32300.0,1,0,2013-01-03,1,13.0,3.0,6.0,6.0,5.0,6.0,1,1,0,3,8,0,0,0,0,0,0,0,Spain
