User_ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Date_Enroll,Recency,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Total_Campaigns_Accepted,Total_Spent
0,1985,Graduation,Married,70951.0,0,0,2013-05-04,66,239.0,10.0,554.0,254.0,87.0,54.0,1,3,4,9,1,0,0,0,0,0,0,0,South Africa,0,1198.0
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464.0,5.0,64.0,7.0,0.0,37.0,1,7,3,7,5,0,0,0,0,1,1,0,Canada,2,577.0
9,1975,Master,Single,46098.0,1,1,2012-08-18,86,57.0,0.0,27.0,0.0,0.0,36.0,4,3,2,2,8,0,0,0,0,0,0,0,Canada,0,120.0
13,1947,PhD,Widow,25358.0,0,1,2013-07-22,57,19.0,0.0,5.0,0.0,0.0,8.0,2,1,0,3,6,0,0,0,0,0,0,0,South Africa,0,32.0
17,1971,PhD,Married,60491.0,0,1,2013-09-06,81,637.0,47.0,237.0,12.0,19.0,76.0,4,6,11,7,5,0,0,0,0,0,0,0,Spain,0,1028.0
20,1965,2n Cycle,Married,46891.0,0,1,2013-09-01,91,43.0,12.0,23.0,29.0,15.0,61.0,1,2,1,4,4,0,0,0,0,0,0,0,Germany,0,183.0
22,1976,Graduation,Divorced,46310.0,1,0,2012-12-03,99,185.0,2.0,88.0,15.0,5.0,14.0,2,6,1,5,8,0,0,0,0,0,0,0,Spain,0,309.0
24,1960,Master,Together,17144.0,1,1,2014-02-15,96,18.0,2.0,19.0,0.0,2.0,6.0,5,3,0,4,7,0,0,0,0,0,0,0,South Africa,0,47.0
25,1958,Graduation,Married,65148.0,0,1,2012-11-16,9,460.0,35.0,422.0,33.0,12.0,153.0,2,6,6,7,4,0,0,0,0,0,0,0,Canada,0,1115.0
35,1987,Graduation,Married,25545.0,1,0,2012-09-08,35,32.0,1.0,64.0,16.0,12.0,85.0,3,2,2,3,6,0,0,0,0,0,1,0,Spain,1,210.0
48,1964,Graduation,Together,55761.0,0,1,2014-04-24,97,136.0,1.0,12.0,0.0,3.0,32.0,2,4,1,3,6,0,1,0,0,0,0,0,Spain,1,184.0
49,1970,Graduation,Single,20587.0,1,0,2014-05-11,39,2.0,3.0,6.0,4.0,1.0,9.0,1,1,1,2,7,0,0,0,0,0,0,0,Canada,0,25.0
55,1963,Graduation,Together,56253.0,0,1,2012-12-07,83,509.0,0.0,65.0,7.0,11.0,5.0,4,7,2,9,6,0,0,0,0,0,0,0,Spain,0,597.0
67,1972,Master,Single,46423.0,1,1,2013-09-18,6,68.0,0.0,16.0,0.0,0.0,8.0,3,2,0,4,7,0,0,0,0,0,0,0,Spain,0,92.0
73,1953,PhD,Single,51411.0,1,2,2013-05-26,81,14.0,0.0,3.0,0.0,0.0,1.0,1,0,0,3,5,0,0,0,0,0,0,0,India,0,18.0
75,1982,2n Cycle,Together,41039.0,0,0,2013-07-25,32,34.0,11.0,137.0,179.0,61.0,45.0,1,8,1,5,8,0,0,0,0,0,0,0,United States,0,467.0
78,1969,Graduation,Married,25293.0,1,0,2013-09-15,51,15.0,0.0,11.0,0.0,2.0,9.0,1,1,1,2,8,0,0,0,0,0,0,0,Spain,0,37.0
87,1981,2n Cycle,Married,27733.0,1,0,2013-08-26,16,0.0,7.0,5.0,26.0,2.0,17.0,2,2,0,3,7,0,0,0,0,0,0,0,Germany,0,57.0
89,1975,2n Cycle,Married,22212.0,1,0,2013-12-09,49,5.0,9.0,20.0,6.0,8.0,21.0,2,2,0,4,6,0,0,0,0,0,0,0,South Africa,0,69.0
92,1988,Graduation,Alone,34176.0,1,0,2014-05-12,12,5.0,7.0,24.0,19.0,14.0,20.0,4,3,0,4,6,0,0,0,0,0,0,0,Canada,0,89.0
113,1951,Graduation,Married,30833.0,1,1,2013-07-16,33,11.0,0.0,7.0,3.0,1.0,6.0,2,1,0,3,5,0,0,0,0,0,0,0,Spain,0,28.0
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275.0,11.0,68.0,25.0,7.0,7.0,3,5,1,8,5,0,0,0,0,0,0,0,India,0,393.0
123,1951,Graduation,Widow,67046.0,0,1,2013-01-06,92,544.0,35.0,133.0,23.0,151.0,107.0,2,4,5,4,2,0,0,0,0,0,0,0,Australia,0,993.0
125,1958,2n Cycle,Together,53083.0,1,1,2013-05-15,65,215.0,7.0,33.0,3.0,0.0,13.0,6,5,1,5,7,0,1,0,0,0,0,0,India,1,271.0
143,1970,Graduation,Single,61209.0,0,0,2013-08-25,73,466.0,0.0,224.0,119.0,49.0,99.0,1,5,3,4,2,0,0,0,0,0,0,0,United States,0,957.0
146,1960,PhD,Single,76045.0,0,0,2013-11-15,78,760.0,53.0,400.0,17.0,93.0,0.0,1,4,5,11,2,0,0,0,1,0,0,0,Spain,1,1323.0
153,1953,Graduation,Divorced,23272.0,0,0,2013-10-17,29,19.0,3.0,6.0,4.0,2.0,12.0,1,1,0,3,4,0,0,0,0,0,0,0,Spain,0,46.0
158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,345.0,53.0,528.0,98.0,75.0,97.0,1,8,3,5,4,1,0,0,0,0,1,0,Spain,2,1196.0
164,1977,PhD,Married,28973.0,0,0,2012-10-13,59,206.0,0.0,46.0,3.0,2.0,12.0,2,5,1,5,8,0,0,0,0,0,0,0,Spain,0,269.0
175,1986,Graduation,Married,71952.0,1,0,2013-01-10,93,656.0,80.0,455.0,52.0,107.0,93.0,2,8,4,8,4,1,0,1,0,0,0,0,Spain,2,1443.0
176,1980,2n Cycle,Single,67506.0,0,1,2014-01-02,73,90.0,38.0,67.0,33.0,36.0,67.0,1,4,1,6,3,0,0,0,0,0,0,0,Spain,0,331.0
178,1956,Graduation,Married,62503.0,0,1,2013-02-18,40,478.0,0.0,193.0,110.0,75.0,117.0,4,8,3,11,5,0,0,0,0,0,0,0,Spain,0,973.0
182,1946,PhD,Together,44124.0,0,1,2013-05-11,62,284.0,0.0,55.0,0.0,6.0,52.0,4,6,2,5,8,0,0,0,0,0,0,0,Spain,0,397.0
193,1996,Basic,Married,14421.0,0,0,2014-02-17,81,0.0,0.0,2.0,3.0,3.0,8.0,1,1,0,2,5,1,0,0,0,0,0,0,Spain,1,16.0
194,1965,Graduation,Married,48006.0,1,1,2014-06-09,55,23.0,0.0,11.0,3.0,2.0,2.0,1,1,0,3,6,0,0,0,0,0,0,0,Spain,0,41.0
